Company,MIN Age,MAX Age,10k coverage,25k,50k,75k,100k
Company A,0,5,1,2,3,4,5
Company A,6,10,1.15,2.32,3.54,4.76,6
Company A,11,15,1.3225,2.6912,4.1772,5.6644,7.2
Company A,16,20,1.520875,3.121792,4.929096,6.740636,8.64
Company A,21,25,1.74900625,3.62127872,5.81633328,8.02135684,10.368
Company A,26,30,2.011357188,4.200683315,6.86327327,9.54541464,12.4416
Company A,31,35,2.313060766,4.872792646,8.098662459,11.35904342,14.92992
Company A,36,40,2.66001988,5.652439469,9.556421702,13.51726167,17.915904
Company A,41,45,3.059022863,6.556829784,11.27657761,16.08554139,21.4990848
Company A,46,50,3.517876292,7.605922549,13.30636158,19.14179425,25.79890176
Company A,51,55,4.045557736,8.822870157,15.70150666,22.77873516,30.95868211
Company A,56,60,4.652391396,10.23452938,18.52777786,27.10669484,37.15041853
Company A,61,65,5.350250105,11.87205408,21.86277788,32.25696686,44.58050224
Company B,0,5,1,2,3,4,5
Company B,6,10,1.5,2.5,3.5,4.5,5.5
Company B,11,15,2,3,4,5,6
Company B,16,20,2.5,3.5,4.5,5.5,6.5
Company B,21,25,3,4,5,6,7
Company B,26,30,3.5,4.5,5.5,6.5,7.5
Company B,31,35,4,5,6,7,8
Company B,36,40,4.5,5.5,6.5,7.5,8.5
Company B,41,45,5,6,7,8,9
Company B,46,50,5.5,6.5,7.5,8.5,9.5
Company B,51,55,6,7,8,9,10
Company B,56,60,6.5,7.5,8.5,9.5,10.5
Company B,61,65,7,8,9,10,11
Company C,0,5,1,2,3,4,5
Company C,6,10,1.15,2.3,3.45,4.6,5.75
Company C,11,15,1.3225,2.645,3.9675,5.29,6.6125
Company C,16,20,1.520875,3.04175,4.562625,6.0835,7.604375
Company C,21,25,1.74900625,3.4980125,5.24701875,6.996025,8.74503125
Company C,26,30,2.011357188,4.022714375,6.034071563,8.04542875,10.05678594
Company C,31,35,2.313060766,4.626121531,6.939182297,9.252243063,11.56530383
Company C,36,40,2.66001988,5.320039761,7.980059641,10.64007952,13.3000994
Company C,41,45,3.059022863,6.118045725,9.177068588,12.23609145,15.29511431
Company C,46,50,3.517876292,7.035752584,10.55362888,14.07150517,17.58938146
Company C,51,55,4.045557736,8.091115471,12.13667321,16.18223094,20.22778868
Company C,56,60,4.652391396,9.304782792,13.95717419,18.60956558,23.26195698
Company C,61,65,5.350250105,10.70050021,16.05075032,21.40100042,26.75125053
